#     date     Ta     ea     uu     Rs     T0
2010-03-01  12.46 680.60   1.32 207.88  12.46
2010-03-02  13.35 771.06   1.55 208.49  13.13
2010-03-03  14.76 685.35   3.02 223.98  12.71
2010-03-04  13.42 481.87   4.02 217.84  12.17
2010-03-05  11.70 395.56   1.27 238.98  12.87
2010-03-06  13.60 481.39   1.19 202.42  12.75
2010-03-07  12.72 782.40   1.87  95.61  11.76
2010-03-08   9.68 925.79   1.35 112.57  10.77
2010-03-09   9.31 743.92   3.48 143.91  10.75
2010-03-10   8.04 681.82   1.83 195.14  10.79
2010-03-11   8.34 538.61   2.37 247.48  12.44
2010-03-12   9.87 648.81   0.79 252.95  12.12
2010-03-13  13.79 703.87   3.69 219.86  12.82
2010-03-14   9.60 453.16   3.56 243.50  12.24
2010-03-15  12.30 685.82   2.30 256.87  13.58
2010-03-16  14.61 838.19   1.32 259.03  10.98
2010-03-17  16.13 818.89   1.30 261.69  15.25
2010-03-18  17.02 792.79   1.00 249.58  15.20
2010-03-19  16.59 580.60   4.01 271.29  13.96
2010-03-20  13.97 394.85   2.17 274.27  13.11
2010-03-21  14.50 419.97   1.14 270.20  11.92
2010-03-22  16.95 464.96   1.27 269.37  16.45
2010-03-23  16.72 402.19   3.78 280.41  13.25
2010-03-24  14.08 367.27   2.21 277.65  13.85
2010-03-25  16.32 270.37   3.30 269.34  14.12
2010-03-26  16.24 381.48   4.06 280.61  13.81
2010-03-27  14.85 348.30   4.01 289.62  14.11
2010-03-28  14.21 355.79   1.66 293.37  13.94
2010-03-29  16.71 340.05   1.35 288.75  14.72
2010-03-30  22.35 254.12   5.36 281.79  15.50
2010-03-31  19.69 491.34   5.31 182.03  14.18
2010-04-01  11.21 472.96   2.78 281.95  12.87
2010-04-02  12.30 453.68   1.30 282.35  13.54
2010-04-03  15.66 460.91   3.73 268.53  12.70
2010-04-04  17.31 414.99   4.24 286.83  14.19
2010-04-05  17.06 464.45   5.64 208.25  10.92
2010-04-06  12.22 351.48   2.81 304.36  14.00
2010-04-07  13.66 297.60   3.36 311.33  14.82
2010-04-08  15.08 330.02   1.56 311.77  15.31
2010-04-09  17.96 361.12   1.36 312.09  17.04
2010-04-10  21.08 352.58   3.60 302.47  14.49
2010-04-11  21.92 371.45   4.73 312.83  14.03
2010-04-12  18.28 551.88   5.00 196.77  13.55
2010-04-13  13.14 678.32   1.85 303.02  14.62
2010-04-14  15.55 628.95   1.00 318.01  15.89
2010-04-15  18.44 595.60   1.35 314.69  14.77
2010-04-16  21.56 522.98   2.10 288.18  19.47
2010-04-17  21.43 399.19   1.52 326.20  17.35
2010-04-18  22.68 471.07   1.23 318.92  19.83
2010-04-19  23.48 488.54   2.58 304.38  18.19
2010-04-20  23.39 850.41   4.37 284.79  16.56
2010-04-21  16.24 608.57   5.16 280.45  14.73
2010-04-22  11.31 612.39   2.69 195.75  15.38
2010-04-23  11.51 768.30   1.42 272.89  16.04
2010-04-24  17.58 805.62   1.30 332.88  17.52
2010-04-25  20.00 666.22   1.28 331.74  19.59
2010-04-26  22.52 604.41   1.52 332.24  19.43
2010-04-27  23.27 544.66   3.41 312.92  19.44
2010-04-28  23.85 508.90   6.62 331.24  17.83
2010-04-29  15.68 405.48   4.97 287.84  14.16
2010-04-30  13.60 386.88   3.33 301.87  16.21
2010-05-01  17.06 425.58   1.99 329.72  17.87
2010-05-02  19.25 349.82   4.25 325.38  16.56
2010-05-03  18.35 324.88   1.62 342.50  18.02
2010-05-04  23.59 332.77   2.13 344.04  19.77
2010-05-05  25.27 459.06   3.60 343.16  18.18
2010-05-06  23.77 380.73   4.28 345.11  17.12
2010-05-07  19.31 238.50   3.25 350.85  18.95
2010-05-08  22.48 359.30   2.49 349.91  19.86
2010-05-09  25.09 361.39   4.63 349.34  18.01
2010-05-10  18.60 526.33   4.63 335.28  16.01
2010-05-11  17.31 443.10   5.27 301.07  16.60
2010-05-12  18.00 540.97   1.51 336.82  17.26
2010-05-13  19.50 647.73   1.78 297.19  17.26
2010-05-14  21.29 600.31   2.18 347.04  19.79
2010-05-15  22.61 505.44   1.71 356.78  20.47
2010-05-16  24.69 480.95   1.42 354.56  22.89
2010-05-17  25.56 448.60   3.58 269.45  20.10
2010-05-18  21.80 741.68   3.34 317.56  19.21
2010-05-19  23.10 656.55   1.04 351.08  20.93
2010-05-20  25.39 711.45   1.59 355.56  22.73
2010-05-21  27.73 536.89   4.68 356.23  21.62
2010-05-22  23.73 329.96   5.58 367.70  20.25
2010-05-23  17.77 319.64   4.89 344.14  19.19
2010-05-24  15.06 487.82   2.19 349.96  18.33
2010-05-25  19.29 448.60   1.02 364.14  20.28
2010-05-26  23.21 459.58   3.69 347.07  18.90
2010-05-27  24.40 659.26   4.57 347.02  18.68
2010-05-28  22.89 709.26   4.10 353.70  18.80
2010-05-29  21.44 436.32   3.54 368.93  20.12
2010-05-30  23.92 395.00   2.23 372.17  22.44
2010-05-31  26.03 470.83   2.29 370.12  22.38
2010-06-01  28.77 468.21   4.92 341.92  18.36
2010-06-02  27.89 636.25   2.78 355.82  21.42
